asset,addresses_listed,share_pct
XBT,532,50.57
TRX,254,24.14
ETH,120,11.41
USDT,94,8.94
LTC,13,1.24
XMR,11,1.05
BCH,7,0.67
DASH,5,0.48
SOL,4,0.38
ZEC,4,0.38
USDC,2,0.19
ARB,1,0.1
BSC,1,0.1
ETC,1,0.1
BSV,1,0.1
BTG,1,0.1
XVG,1,0.1
